Character,Text
Istredd,"See, my thought transference trial at Ban Ard took… three days. Boy I was paired with had a phobia of cheese."
Yennefer,"I want to be good. Good at something."
Istredd,"You’ll get there. I didn’t give up. Now I can read minds."
Yennefer,"Great. Is that what you’re doing?"
Istredd,"You can read me, if you like."
Yennefer,"I don’t think it’s working."
Istredd,"You can see. You can see. Just… Just look past."
Yennefer,"I see them. What are they?"
Istredd,"Moon jellyfish."
Yennefer,"I… I can hear them."
Istredd,"Cicadas in summer."
Yennefer,"I can taste it."
Istredd,"It’s warm bread."
Yennefer,"Are these the things you love?"
Istredd,"These are the things I thought you would love."
Lilja,"So tired. But I can’t sleep, either. You’re still scared, aren’t you? Well, you’re safe now. I’ve got you."
Ciri,"I’m looking for… for Geralt of Rivia. Do you know him?"
Lilja,"Afraid I don’t. He’s a knight?"
Ciri,"I don’t know."
Lilja,"What about your mother or your father?"
Ciri,"My parents died when I was a baby. My grandmother took care of me."
Lilja,"Where is she?"
Ciri,"She, um… died. In the Nilfgaard attack."
Lilja,"Oh. I’m so sorry."
Ciri,"I’m sorry too. For your family."
Lilja,"We’ll get through this together. We take care of our own."
Tissaia,"Get up."
Tissaia,"Welcome, Fringilla. Welcome, Lark. Welcome, Doralis. Welcome, Sabrina. And welcome back, piglet. Tor Lara, the Tower of the Gull. The most potent place on the continent. Off-limits, except for the Brotherhood of Sorcerers."
Yennefer,"Why?"
Tissaia,"This trial tests your ability to control the ultimate expression of chaos. Catch lightning in a bottle."
Anica,"That’s impossible."
Tissaia,"No, it’s magic. Doralis. Bottle up. Now."
Fringilla,"She’s still breathing."
Tissaia,"lark, move Doralis aside. Anica, your turn next. Quickly."
Yennefer,"You can do this."
Tissaia,"Quickly."
Anica,"I did it."
Tissaia,"Piglet, your turn. Faster. Sabrina, sow these girls how it’s done. The strong amongst the weak. What you did there was pathetic and dangerous."
Yennefer,"Felt pretty powerful to me."
Tissaia,"There are mages like Sabrina who ignore their emotions. And then there are mages like us who are consumed by them."
Yennfer,"Like us?"
Tissaia,"Your first night here at Aretuza, you tried to kill yourself. And tonight, you almost killed someone else. It is your job to control chaos, not become it."
Yennefer,"I can."
Tissaia,"But if I send you to advise a king, and your precious little feelings get hurt when he won’t listen, and you submit to chaos, he dies, his people turn on us. Whose fault would that be?"
Yennefer,"Mine."
Tissaia,"No. Mine for letting you ascend."
Yennefer,"I understand."
Tissaia,"Do you? You lie. You keep secrets. You succumb to emotions, to weakness. Do you actually have what it takes?"
Jaskier,"This is the part where we escape."
Geralt,"This is the part where they kill us."
Jaskier,"Who’s they?"
Toruviel,"Beast!"
Geralt,"Elves."
Jaskier,"Oi, that’s my lute. Give that back. Quick, Geralt. Do your- your witchering-"
Geralt,"Shut up!"
Jaskier,"No."
Toruviel,"You shut up!"
Jaskier,"my Elder speech is rough. I only got part of that."
Toruviel,"Humans, shut up."
Jaskier,"Ah, got it, thanks so much."
Toruviel,"Do you wanna die right now?"
Geralt,"As opposed to later?"
Jaskier,"No, please, not the lu-"
Geralt,"Leave off! He’s just a bard."
Toruviel,"You don’t deserve the air your breathe. Everything you touch, you destroy."
Jaskier,"You hide in your golden palaces. You beat a bound man, too scared to even look him in the eye!"
Toruviel,"Do you like my place? Hmm? Does it live up to the tales you humans tell?"
Jaskier,"Yeah, take that, pointy. Wait, what’s- what’s wrong with her?"
Filavandrel,"She’s sick."
Jaskier,"Oh, and who’s this?"
Torque,"He’s Filavandrel, King of the Elves."
Filavandrel,"Not a king. Not by choice."
Geralt,"You were stealing for them."
Torque,"I felt for them. They were forced out of Dol Blathanna."
Jaskier,"Forced out? No, they chose-"
Filavandrel,"Do you know anyone that would choose to leave their home? To Starve? To have a Sylvan steal for them?"
Torque,"Toruviel, no one was supposed to get hurt."
Toruviel,"What’s two humans in the ground when countless elves have died?"
Geralt,"One human. And you can let him go."
Filavandrel,"Then Posada will learn that we’ve been stealing. The humans will attack. Many will die… on both sides."
Geralt,"The lesser evil. No matter what you choose, you’ll come out bloody and hating yourself. Trust me."
Filavandrel,"That’s the problem. I can’t. This is necessary."
Geralt,"I understand. As long as you understand… that it won’t be long before you follow me in death."
Filavandrel,"Yes, because they pushed us from viable soil. Even chaos is polluted. Synthetically enhanced so humans can make magic."
Geralt,"Chaos is the same as it’s always been. Humans just adapted better."
Filavandrel,"You say adapt, and I say destroy."
Geralt,"You are choosing to starve. You’re cutting off your ear to spite your face."
Filavandrel,"You think this is about pride? My elders worked with humans and got robbed of all they had. And when they fought back. They were slaughtered. “The Great Cleansing”, humans call it. I called it digging a mass grave for everyone I loved. And now the humans proudly watch these very fields grow… our babies fertilizer for their grain. I don’t wish to bury anyone else. I was once Filavandrel of the Silver Towers. Now I’m Filavandrel of the Edge of the World. If I bring my people down from these mountains, it would mean bowing to human sovereignty. They’ll make slaves of us. Pariahs of half-blood children."
Geralt,"Then go somewhere else. Rebuild. Get strong again. Show the humans that you are more than what they fear you to be."
Filavandrel,"Like you, Witcher?"
Geralt,"I have learned to live with them. So that I may live."
Toruviel,"Please, my King. There are others. A new generation. Evellien who wish to fight! Let us take back what’s ours. Starting now."
Torque,"Wait!"
Filavandrel,"Torque, stand aside!"
Torque,"The witcher could’ve killed me. But he didn’t. He’s different. Like us."
Geralt,"If you must kill me… I am ready. But the Sylvan’s right. Don’t call me human."
Yennefer,"She knows about us. I’m gonna be sent home. We’ll never see each other again."
Istredd,"What do you mean, we’ll never see each other again? No, no. This- This is not the last time. We- We’ll find a way."
Yennefer,"How? W-With one of those extra-special portals?"
Istredd,"Oh, look, you know- I wish I could show you, but I- I can’t risk the knowledge reaching the Brotherhood of Sorcerers."
Yennefer,"Why?"
Istredd,"It’s not the method of magic we’re taught. It’s older. It’s more potent. It could open doors that can’t be closed again."
Yennefer,"I don’t understand. My worst fear is true. I’m still not enough. Even for you."
Istredd,"Come. I want to show you. Come. Do you know whose skulls these are?"
Yennefer,"Dead people?"
Istredd,"Dead elves. These elves built Aretuza."
Yennefer,"You mean as slaves?"
Istredd,"No, no. This was before humans. Elves are the original sorcerers of the continent."
Yennefer,"What?"
Istredd,"See, when humans and monsters all arrived after the Conjunction of the Spheres… elven mages taught the first humans how to turn chaos into magic. And then… the humans slaughtered them… so they could pretend the power had always belonged to them. Rewriting history with the stories we tell… the songs we sing about our own triumphs, it’s what we do. But I want to honor them. Feainnewedd only grows where elder blood has spilled. Open your mouth. Open the door"
Yennefer,"Open the door"
Istredd,"How did- How did you do that on your first try?"
Yennefer,"I should go."
Istredd,"W-W-Wait- Wait. Wait. Wait. Wait."
Yennefer,"My father… My real father… he was half-elf. Do you remember the Great Cleansing?"
Istredd,"Thousands of elven lives lost."
Yennefer,"That’s how my father died. His blood is… why I’m cursed with a twisted spine. Why I’m only worth four marks. Why no one could ever love me."
Istredd,"So far, so good."
Yennefer,"What will you do with it?"
Tissaia,"Nothing. Simply wanted to know that you could control your emotions and get it from the boy. That you would. You may go… Yennefer."
Yennefer,"Does this mean I get to ascend? I’m ready."
Tissaia,"Listen for the knock."
Stregobor,"You’ve been working on her for months. You must be able to give me something. Make Ban Ard proud."
Istredd,"Sh-She’s part elf."
man,"Lilja! Quick. Nilfgaard. They’re here! They’re here!"
Ciri,"What’s happening?"
Lilja,"Go get the horse. Find Adon and Zeje. And take this. You stupid little shit! Pick it up and go! Go! Help!"
Ciri,"It’s you. Wait."
Tissaia,"Anica. Doralis."
Tissaia,"From the chaos granted onto you, peace I now give you, as you give us power in return. Come forth, Yennefer."
Yennefer,"You turned my friend into a slug."
Tissaia,"An eel. Come. Push your friend into the pool."
Yennefer,"No."
Tissaia,"Yes. I took away her control, but she still has power."
Yennefer,"She’s a conduit. For Aretuza."
Tissaia,"Sometimes the best thing a flower can do for us is die."
Jaskier,"Credit where credit is due. That whole reverse-psychology thing you did on them was brilliant, by the way. Kill me. I’m ready. That’s the conclusion. They just let us go, and you give all of Nettly’s coin to the elves."
Geralt,"Filavandrel’s lute not gift enough for you?"
Jaskier,"Yeah, she is a bit sexy, isn’t she? I do have respect for Filavandrel. He survived the Great Cleansing once. Who knows? Maybe he can do it again. Be reborn. Will the elf king heed / What the witcher entreats? / Is history a wheel / Doomed to repeat? No, that’s… that’s shit."
Geralt,"This is where we part ways, bard, for good."
Jaskier,"Look, I promised to change the public’s tune about you. At least allow me to try. When a humble bard / Graced a ride along / With Geralt of Rivia / Along came this song / From when the White Wolf fought / a silver tongued devil / His army of elves / At his hooves did they travel / They came after me / With masterful deceit / Broke down my lute / And they kicked in my teeth / While the devil’s horns / Minced our tender meat / And so cried the witcher / “He can’t be bleat”-"
Ciri,"You’re an elf. Thank you."
Dara,"I’m Dara."
Ciri,"I’m Ciri."
Geralt,"That’s not how it happened. Where’s your newfound respect?"
Jaskier,"Respect doesn’t make history. Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / O Valley of Plenty / At the edge of the world"
Geralt,"Hmm."
Jaskier,"Fight the mighty horn / That bashes and breaks you / And brings you to mourn / he thrust every elf / Far back on the shelf / High up on the mountain / From whence it came / He wiped out your pest / Got kicked in his chest / He’s a friend of humanity / So give him the rest / That’s my epic tale / Our champion prevailed / Defeated the villain / Now pour him some ale / Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / A friend of humanity / Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / A friend of humanity / Toss a coin to your witcher / O Valley of Plenty / O Valley of Plenty, oh-oh-oh / Toss a coin to your witcher / A friend of humanity"
Mikal,"It comes on a full moon to feed. That's what Ma used to say. When a wolf crosses a maiden's grave. A pregnant girl who died before her time. That babe starts growing right in her belly. When it's big enough that babe rips out. Only it ain't a babe no more. It's a monster. A vukodlak. I swear, Witcher, that's what got me. I swear I saw it. I swear on my Ma's grave, I saw it..."
Tsoka,"Shh. Shh, shh."
Witcher,"Three thousand Ores. Up front."
Danica,"This… I definitely know. The vampire bled / As white as a sheet / And yet her dead heart did beat / Did beat The kikimora? Hmm. I don’t recall the bard singing of this one. Who would dare try and rob you of your treasure? A woman?"
Geralt,"Princess."
Danica,"Were you in love? What’s her name?"
Geralt,"When you live as long as I do, all the names start to sound the same."
Danica,"Were destiny a kinder bitch, a whore like me wouldn’t have to settle for her client’s telltales. A friend of yours came through here last month headed for Temeria."
Geralt,"Friend?"
Danica,"Another witcher. I blessed that prick with my fullest efforts, too, and he-"
Geralt,"What’s in Temeria?"
Danica,"Do you not just hear me talking?"
Geralt,"Shouldn’t you know when someone’s pretending?"
inkeeper,"It’s been three nights. Pay up or get out!"
Geralt,"Temeria?"
Danica,"It’s got a pest problem. A few miners rounded up 3000 orens to have it killed. Your boy took the coin and ran."
innkeeper,"You hear me?"
Geralt,"Thank you… for… everything."
innkeeper,"Witcher!"
Danica,"Hm. What about the room?"
Geralt,"Don’t judge me. I’ll be back with payment in a few days. Anything happens to my horse…"
innkeeper,"You don’t scare me."
Geralt,"Point me to Temeria."
human miner,"Years of attacks by this creature, and the king does nothing. We must force his hand. Lay down our picks and refuse to work."
one-eyed dwarf,"And a half-measure ain’t gonna do! We’ve got to move on. Plenty of work south of Sodden."
Tsoka,"My son, rest his soul, told me in Nilfgaard the king diddled whores while his subjects starved. Then someone came. The Usurper. And he rallied the people, and they took back what was theirs!"
miners,"Yeah!"
Tsoka,"I say we follow their lead!"
Geralt,"You can’t kill the vokodlak, so you decide to kill your king? Great plan."
Tsoka,"Another fuckin’ witcher. Your kind already swindled us once."
Geralt,"I take payment after the job is done and for a third of the price. An apology… from my guild to yours."
Tsoka,"And if you can’t kill it?"
Geralt,"Then I die."
Lord Ostrit,"Please. Everyone remain calm. Lower your weapons and return to your homes. Do so quickly and without further theatrics, and you have my word that our king will not hear of this treason."
Tsoka,"Foltest commits treason. He hides in his winter caste as we are eaten."
miners,"Yeah!"
Lord Ostrit,"Mikal was a good boy. Revenge will not ease your pain."
Tsoka,"You know nothing of my pain."
Geralt,"Does Foltest have a plan?"
Lord Ostrit,"See this one to our borders. Temeria’s had their fill… of witchers."
Triss,"Witcher. You can put down your sword. I’m not here to hurt you."
Geralt,"Says the witch hiding in the woods."
Triss,"Sorceress."
Geralt,"Witch."
Triss,"Triss Merigold. I serve King Foltest."
Geralt,"So he makes a show of kicking me out… then sends his errand girl to slip me some coin so I kill his monster. Not a very original plan for a king."
Triss,"It’s my plan. My coin. And I don’t want you to kill the beast. I want you to help me save it."
Triss,"Six years ago stable hands started vanishing at the castle above the city. Before long, citizens were disappearing throughout all Temeria. Foltest’s royal guard soon realized the creature was coming from the crypt where the king’s sister Adda is buried. Rumor has it she was having an affair with a young man in town when she died."
Geralt,"Was she pregnant?"
Triss,"Well, if she were, that would make her child the sole heir to the throne as Foltest never married. The king fled the castle, ignoring the rising death toll. After Nilfgaard overthrew their king, the brotherhood couldn’t risk it happening again, so they sent me here three months ago to cure the creature."
Geralt,"Vukodlaks are freak mutations. They can’t be cured."
Triss,"Good thing it’s not a vukodlak."
Triss,"Two thousand orens if you can tell me what exactly killed these people."
Geralt,"You didn’t want the people to know that it bested a witcher. And you let them believe that he fled with their coin."
Triss,"You two clearly weren’t acquainted."
Geralt,"His heart’s missing along with his liver. Only one creature I know is that picky an eater. A striga."
Triss,"Strigas are old wives’ tales."
Geralt,"They’re very rare. The only way to make one is through a curse."
Triss,"Someone wanted Adda dead."
Geralt,"Mm-hmm. But the curse didn’t stop with Adda. It turned her daughter into a monster."
Triss,"Her daughter?"
Geralt,"Strigas are female. This striga’s a princess."
Istredd,"Uh… can… can… U, can they do something? Uh, they- they’re just watching."
Istredd,"I was a nice touch with the applause. So how many more times do you think we get to do this?"
Yennefer,"I don’t know. Soon you’ll be off to your ruins, dashing explorer."
Istredd,"Part-time dashing explorer. Stregobor says Temeria leans heavily on its mages."
Yennefer,"So maybe you’ll be too busy for me."
Yennefer,"Or maybe you’ll be too busy for me once you get a taste of Aedirn revelry. King Virfuril is handsome. Allegedly."
Yennefer,"If I do a good job I can persuade him to give you access to our ruins. Maybe we’ll do this forever."
Istredd,"Yeah. Well, after the initiation today, we’re in charge. We get to make the decisions, be who we want to be. What’s wrong?"
Yennefer,"Fringilla and the others see their ideal selves to clearly. They know exactly what they want for their enchantments."
Istredd,"Stop worrying so much."
Yennefer,"Easy for a Ban Ard boy. You dolts needn’t change a single wrinkle before heading to court."
Istredd,"What do you want?"
Yennefer,"Remember that cared girl who tumbled at your feet in this cave… totally unaware of her power? I want to go back home to Aedirn and never be her again."
Giltine,"You’re bound for Aedirn?"
Yennefer,"Yes."
Giltine,"Let me be candid. You are a… first draft of what nature intended, yes? Lucky for you, I’m the final artist. Every girl I enchant leaves Aretuza a living work of art. Hmm? No matter how challenging the clay. Perfect for Aedirn. A gray dress assumes importance without bald ambition. Ah. Not the final look. More a preview."
Tissaia,"There is not a person alive that does not look into the mirror and see some deformity. Except for us. We remake ourselves on our terms. The world has no say in it. Look. You can free the victim in the mirror forever."
Yennefer,"I don’t know where to begin."
Tissaia,"Close your eyes. I said close them. Imagine the most powerful woman in the world. Her hair, the color of her eyes, yes… but also the strength of her posture. The poise of her entire being. Do you see her?"
Yennefer,"Yes."
Tissaia,"Open your eyes. She is stunning."
Captain Segelin,"Miss Merigold, you were dispatched to settle a family affair, not to enlist a mutant mercenary for a game of sleuthing."
Triss,"This is no game, Captain. Tonight is a full moon and Geralt has already proved himself to be invaluable. We believe we can cure the creature."
Captain Segelin,"You say she’s a girl. Then you will refer to her as Her Royal Highness."
Lord Ostrit,"Segelin, I believe urgency warrants flexibility I court decorum."
Captain Segelin,"The witcher’s theory is nonsense. Princess Adda was the people’s angel. Who’d wish to murder her?"
Geralt,"What about her lover?"
Captain Segelin,"Seditious rumors. Idle courtesans trading out boredom for jealousy."
Triss,"Perhaps if you called off your guards, if we were able to search the abandoned castle, we could find clues as to who cursed her."
Captain Segelin,"Except this witcher would kill the princess as she sleeps, and collect the miners’ coin."
Geralt,"Call her a princess. Call her a unicorn if you’d like to. She grew inside Adda, feeding on her petrified womb."
Captain Segelin,"Have you no respect?"
Geralt,"Mutating. Growing for years till she got so hungry… she was forced to slither out. Rotten muscle, bent bones, two spidery legs, claws dragging in the dirt. An overgrown abortion."
King Foltest,"Enough."
Captain Segelin,"Your Highness?"
King Foltest,"Leave."
guard,"Hey! Open the door! Open this door! Protect the king! Witcher!"
Geralt,"Who’s the princess’ father?"
King Foltest,"My men will kill you, Witcher."
Geralt,"Hmm. It’s funny. You learn that your sister was murdered, and you didn’t even flinch. But the moment I mention the girl’s father… Why were you never married?"
King Foltest,"You are speaking to a king."
Geralt,"That is exactly my point. Why not produce your own heir? Why not kill the striga and avoid this revolt? Why drag this all out? Between you and me… who is the striga’s father?"
King Foltest,"I remember hearing stories about witchers when I was a child. Is it true what they say? That the mutations that grant you your… abilities also erase your emotions? Must be. ‘Cause only a man devoid of all heart could accuse a brother of bedding his murdered sister while urging him to kill her. Leave Temeria. Never return."
Tissaia,"Cintra continues their animosity towards our organization."
Artorius,"Don’t tell me they’re employing druids or worse, fortune tellers."
Tissaia,"King Dagorad has banned mages from Cintra, God knows why."
Stregobor,"I’ve heard rumors he’s taken ill. Now, if the king dies, perhaps his heiress will be more pliable. Princess…"
Tissaia,"Calanthe? Good luck with that. Word is she’s even more stubborn than her father is."
Artorius,"How fares Nilfgaard?"
Vanielle of Brugge,"King Fergus is proving to be an effective and excitable young king."
Stregobor,"Horny, she means. Spending the kingdom’s money on women as his people starve to death."
Tissaia,"Fringilla will be in Nilfgaard by week’s end. She will bring sanity and bread to the people."
Stregobor,"Your girl is- With all due respect, your niece is only capable of doing what she’s told."
Artorius,"No ambitious mage wants to be assigned anywhere south of Sodden. But Nilfgaard needs correcting. Perhaps we consider sending someone there with a bit more… spine. Stregobor, did you have anyone in mind?"
Stregobor,"What about your hunchback protégé? How’s her… spine?"
Tissaia,"We agreed Yennefer would thrive in Aedirn. King Virfuril prefers mages from his kingdom, and Yennefer was born in Vengeberg."
Stregobor,"Oh, we’d be spitting in Dagorad’s face if we send Yennefer to their biggest trade partner. The only thing Cintra hates more than mages is… elves."
Artorius,"Yennefer’s of elven blood?"
Tissaia,"Quarter elf."
Stregobor,"Watch a Cintran do that math."
Tissaia,"Let’s not model our wisdom on prejudice and paranoia."
Artorius,"Prejudiced or not, you can’t deny Cintra has operated outside our influence far too long."
Stregobor,"Unchecked kings and queens lead to rebellions. Massacres. It’s the reason this chapter was formed."
Tissaia,"Still afraid of Falka, are you? And you, you spare your niece her duties? Not enough fragrance in Toussaint to take the stench off that nepotism."
Artorius,"Let the Chapter vote, then. I’ll even recuse myself. All in favor of Yennefer to Nilfgaard instead of Fringilla?"
Yennefer,"Your excellence, it’s an honor. The honor is mine"
Giltine,"King Fergus chose this. Not me."
Yennefer,"King Fergus of Nilfgaard? What are you talking about?"
Giltine,"Uh…"
Yennefer,"I demand an audience with the Chapter."
Tissaia,"I handle court assignments, Yennefer. Not the Chapter."
Yennefer,"You promised me Aedirn."
Tissaia,"New items came to light which led me to believe that you would be a better fit for Nilfgaard."
Yennefer,"There’s no power in puppeting fools, especially one who’d sooner fondle his sorceress than listen to her! I don’t think new items came to light. I think the Chapter overruled you. Is that it? Yeah? The all-powerful sorceress Tissaia de Vriess knocked down from her glass pedestal."
Tissaia,"‘Twas your blood. Efforts in Cintra prevent the Brotherhood from placing a mage with elven blood in Aedirn’s court."
Yennefer,"How could you tell them?"
Tissaia,"I did not. Stregobor did. Divine the rest."
guard 1,"How many more hours?"
guard 2,"Too many."
Triss,"You were told to leave Temeria."
Geralt,"But come on. These views."
Triss,"Are you going to kill her?"
Geralt,"I don’t want the miners’ coin."
Triss,"Or mine, apparently. What is this girl to you? Why do you care?"
Geralt,"You first. I saw how Foltest and his boy spoke to you. Why help those who won’t listen?"
Triss,"I’m sure someone as legendary as you has already figured out several ways to get past Segelin’s guards."
guard 1,"Move away."
Triss,"Temeria reeks of secrets. I could sense them. Just like I could these bodies before we entered. I imagine you sense them, too. Foltest and Adda. What happened to them? Not answering questions is a pillar of your brooding charm."
Geralt,"Pretty sure Foltest is the father."
Triss,"Adda’s bedroom. Do you think he cursed her? Foltest?"
Geralt,"Maybe."
Triss,"Geralt. Letters. From Queen Sancia, Foltest and Adda’s mother."
Lord Ostrit,"A queen mother cursing her own children for their affair. This could destroy the throne."
Geralt,"Sancia wanted Adda to get rid of the child."
Triss,"Seems the refused. Repeatedly."
Lord Ostrit,"And now she’s taken that curse with her to the grave."
Triss,"You’ve served the family for decades. Was Sancia involved in dark sorcery of any kind?"
Lord Ostrit,"No. Of course not."
Geralt,"What was your relationship to Adda?"
Lord Ostrit,"Well, I like to think that she saw me as a confidant. And protector, even. We used to talk at great length about her troubles. She could be very naïve."
Geralt,"She ever mention her brother?"
Lord Ostrit,"Certainly not like this."
Triss,"She was ashamed."
Lord Ostrit,"Or she was frightened. What of the relationship was not… consensual?"
Geralt,"Hmm. You think he raped Adda, then cursed the child to cover it up?"
Lord Ostrit,"Well, kings have done more for less."
Geralt,"True. There’ only one wrinkle, though. You scent was on her sheets."
Triss,"Geralt."
Geralt,"Old ones… and new ones."
Lord Ostrit,"What would I be doing in a dead girl’s bed?"
Geralt,"I smelled what you were doing."
Lord Ostrit,"Foltest had no right! He seduced Adda. Abused his position. He was always nagging her for attention. Always nagging! But he didn’t love her. I did."
Triss,"You cursed the woman you loved?"
Lord Ostrit,"I cursed Foltest, not her."
Triss,"Countless are dead because of your jealousy."
Lord Ostrit,"Countless are dead because of Foltest! He spoiled Adda with his seed. He refuses to kill this striga. He lies to his people. And yet you wag your finger in my face."
Triss,"If you wanted him to suffer, you could have just exposed the affair."
Lord Ostrit,"And hurt Adda? Never. Her memory will not be sullied, not while I’m alive to protect it."
Geralt,"Tell us how to lift the curse."
Lord Ostrit,"No. Foltest will watch as Temeria turns against him. Just as he turned Adda against me."
Geralt,"Hmm."
Sabrina,"I, Sabrina Glevissig, offer myself to the Brotherhood to make good on the promise of the Spheres. To not place power before virtue. To respect…"
Istredd,"Where is she?"
Fringilla,"You didn’t hear?"
Sabrina,"…for as long as my flesh endures."
Artorius,"Welcome to the Brotherhood of Sorcerers. You may perform your enchantment."
Istredd,"Yenna. Yenna, what are you doing?"
Yennefer,"Undoing what you’ve done. I’ll have my father sign this deed declaring me his natural-born daughter and not an elven bastard. Do you really think this slip of paper will fool the Chapter? Yenna-"
Yennefer,"Get your hands away from me!"
Istredd,"It was a test. I was, uh, an idiotic manipulation. Forgive me."
Yennefer,"Can your apology save me from Nilfgaard? Take me to Aedirn? Do they make me more than my blood?"
Istredd,"And you think this will?"
Yennefer,"Fine. Tell them you lied. Say you concocted this slander to gain the favour of your precious rector."
Istredd,"It’s too late. You missed initiation. The enchantments are done. Think clearly."
Yennefer,"You’re so smart, aren’t you? You know everything."
Istredd,"I’m sorry. I had no way of knowing how the information would be used. But neither did you."
Yennefer,"Do not turn this on me."
Istredd,"Ah, so we’re pretending your precious rectoress never ordered you to spy on me? Look, I- I can fix this. The brotherhood- they’ve offered me a seat on the Research Chapter. Me. Okay? Neither of us have to go to court."
Yennefer,"You can’t be serious?"
Istredd,"We can travel the continent together. We can be together. We can forge a whole new destiny."
Yennefer,"Ah. A life holding dustpans while you brush off forgotten bones? That’s not destiny. That’s slow suicide."
Istredd,"You don’t mean that."
Yennefer,"Would it frighten you to know you’re not privy to every one of my thoughts?"
Istredd,"You are patronizing me. I was going to Temeria for you."
Yennefer,"That was your decision."
Istredd,"Oh, you really think I wish to waste my days gossiping at court? That’s your fetish, not mine."
Yennefer,"A true man would state his desires."
Istredd,"Well, how would I recognize them? Huh? You get off on disguising yours as my own. Oh. Stregobor was right. That’s exactly why you’re here, exactly what she taught you. Everyone’s a pawn."
Yennefer,"I will not be schooled by a man who pimps the world a s some romantic adventure. My world is cruel. Unpredictable. You enter, you survive, you die."
Istredd,"You know, victimhood is not your color."
Yennefer,"Nor heroism yours."
Istredd,"You’re just angry because you lost your chance to be beautiful!"
Yennefer,"I want to be powerful."
Istredd,"Seen and adored with everyone watching."
Yennefer,"It is what I’m owed."
Istredd,"No amount of power or beauty will ever make you feel worthy of either."
King Virfuril,"Let’s take a rest, dear."
Queen Sancia,"Foltest, leave your sister be. Show Madame de Vriess some respect."
Tissaia,"What wonderful children, Your Highness."
Queen Sancia,"Thank you."
Tissaia,"Your Excellence."
King Virfuril,"An Aedirnian would surely have had better footing."
Yennefer,"You claim to be quite the artist. Prove it."
Giltine,"The Chapter would have my head."
Yennefer,"Do they already have your cock?"
Giltine,"I need time to prepare the herbs."
Yennefer,"That won’t be necessary."
Giltine,"Don’t be foolish. You can’t be awake during the procedure."
Yennefer,"I can."
King Foltest,"Oh so quick to violence. Strange, considering what Miss Merigold told me about you."
Geralt,"And what’s that?"
King Foltest,"She told me… to trust you. Will this work? Answer honestly."
Geralt,"I don’t know."
King Foltest,"Will my… will my daughter… be normal?"
Geralt,"She’ll need special care. She’s lived as an animal. All she’s ever known is… rage and hunger."
King Foltest,"What is this?"
Geralt,"For the princess. If I can lift the curse. A gift."
King Foltest,"You’re giving me this because you do not expect to see morning."
Geralt,"This isn’t my first time trying to save a princess who others see as a monster."
King Foltest,"What happened to that princess?"
Geralt,"I killed her."
King Foltest,"I did try to resist, at first, with Adda. We both did. For all it brightens, love casts long shadows. I envy you. To live and never have to fall in love."
Lord Ostrit,"Witcher. This is madness. What are we doing here? What’s happening?"
Geralt,"How can I lift the curse?"
Lord Ostrit,"No. This is not right. Foltest must pay for what he did."
Geralt,"Explain that to her."
Lord Ostrit,"Carry me out. I order you."
Geralt,"Tell me how to lift the curse."
Lord Ostrit,"She- She was hiding from the Brotherhood. She sold me a lamb. Sh-She told me to wait until a full moon, to wait and then to kill it. And then I recited some silly chant. And then I bathed in the lamb’s blood until sunrise. Until the rooster crowed three times. And that is all. I swear. I swear. Now please let us leave."
Geralt,"What was the chant?"
Lord Ostrit,"It was years ago. It was elven. Um… Wh- what is it? The- I- I’ve done what you’ve asked. What more can I do?"
Geralt,"Nothing, unless you can keep a striga out of her crypt until he fucking rooster crows three times."
Lord Ostrit,"You’re gonna have to fight her till dawn."
Yennefer,"Leave my eyes. These as well."
Giltine,"There is a cost to all creation. A sacrifice that is always made. To be reborn… you will bear no more. Do you understand? Good."
Lord Ostrit,"No. No. Come back here. Please. Please! You’d leave a man bound to die in such indignity?"
Geralt,"You’re not a man."
Lord Ostrit,"Please forgive me. It was Foltest. I was his fault. I loved your mother."
Geralt,"Fuck."
Yennefer,"Yennefer of Vengerberg."
Tissaia,"My apologies, Your Excellence. Please allow me to remove this misguided girl."
King Virfuril,"Now, what sort of a king refuses a dance with one of his subjects? Vengerberg? Are you aware that I’m in the market for just such a mage?"
Yennefer,"On your lead, Your Excellence."
Triss,"Geralt… Geralt."
Geralt,"Renfri."
Renfri,"The girl in the woods will be with you always. People call you a monster too."
Geralt,"Renfri."
Renfri,"You choose…"
Triss,"Your scars. You heal quite nicely. Your will to live is strong."
Geralt,"The princess?"
Triss,"I’ve arranged for her to stay a while with the Sisters of Melitele."
Geralt,"But… I… Her neck?"
Triss,"She’ll heal, too. You should know Folstest issued a statement. The honorable Lord Ostrit gave his life to slay the vukodlak. Miners are gathering ore for a statue. Anyone else would’ve killed the princess. You chose not to."
Geralt,"I’ll take my coin now. I need to get back to my horse."
Triss,"Who’s Renfir? Hers was the only name you uttered over and over I your sleep."
Geralt,"My coin."
Triss,"So that’s all life is to you? Monsters and money?"
Geralt,"It’s all it needs to be."
Triss,"You say this is all life is to you, but there is a vortex of fate around all of us, Geralt, growing with each and every one of our choices… drawing our destinies in closer. I feel something out there waits for you. Something more."
Dara,"Ciri."
voices,"Ciri."
