recipe_title	ingredients	cuisine	course	diet	prep_time	cook_time	rating	vote_count
Crispy Whole Wheat Pizza With Spinach Pesto & Roasted Vegetables Recipe	Spinach Leaves, Garlic, Parmesan cheese, Lemon juice, Salt, Extra Virgin Olive Oil, Extra Virgin Olive Oil, Tomato, Dried oregano, Dried basil leaves, Salt and Pepper, Brinjal, Portobello mushrooms, Green bell peppers, Mozzarella cheese	Italian	Dinner	Vegetarian	15 M	60 M	4.9462102689487	818
Frozen Strawberry Souffle Recipe	Strawberries, Sugar, Lemon juice, Gelatin, Water, Heavy whipping cream	French	Dessert	Vegetarian	15 M	180 M	4.9090909090909	528
Chocolate Salted Caramel Tart Recipe	All Purpose Flour, Sugar, Butter, Whole Egg, Water, Sugar, Water, Butter, Heavy whipping cream, Heavy whipping cream, Dark chocolate, Sea salt	French	Dessert	Vegetarian	60 M	45 M	4.455078125	1024
Roasted Eggplant & Olive Lasagna Recipe	Lasagna sheets, Black olives, Basil leaves, Parmesan cheese, Mozzarella cheese, Red Bell pepper, Brinjal, Onion, Garlic, Dried oregano	Italian	Main Course	Vegetarian	30 M	40 M	4.923197492163	638
Classic Greek salad Recipe	Extra Virgin Olive Oil, Lemon juice, Salt and Pepper, Iceberg lettuce, Tomatoes, English Cucumber, Red onion, Kalmatta olives, Feta Cheese, Parsley leaves, Kalmatta olives, Feta Cheese, Parsley leaves, Salt and Pepper	Greek	Appetizer	Vegetarian	30 M	0 M	4.9106628242075	1041
Roasted Tomato Basil Pasta & Pizza Sauce Recipe	Tomatoes, Garlic, Onion, Extra Virgin Olive Oil, Salt, Sugar, Red Chilli flakes	Italian	NA	Vegetarian	10 M	30 M	4.886563876652	1816
Black And Green Grapes Panna Cotta Recipe	Fresh cream, Milk, Caster Sugar, Gelatin, Vanilla Extract, Water, Green Grapes, Caster Sugar, Gelatin, Green Grapes, Water, Black grapes, Caster Sugar, Gelatin, Black grapes, Water, Green Grapes	Italian	Dessert	Non Vegeterian	90 M	30 M	4.9226260257913	853
Poblano Chili Rellenos Recipe - Baked Cheese Stuffed Chilies	Poblano Chillies, Extra Virgin Olive Oil, Onion, Garlic, Cheddar cheese, Dried Thyme Leaves, Black pepper powder, Tarragon, Dried oregano, Gram flour, Whole Egg, Tomatoes, Garlic, Tomato Ketchup, Sugar, Red Chilli flakes, Dried oregano	Mexican	Appetizer	Vegetarian	10 M	40 M	4.9175991861648	983
Lemon Rosemary Sauce Baked Penne Pasta Recipe	Penne pasta, Butter, Garlic, Lemon juice, Lemon, Rosemary, Black pepper powder, Mozzarella cheese	Italian	Main Course	Vegetarian	15 M	20 M	4.9412878787879	1056
Plum Clafoutis Recipe - French Style Batter Pudding	Plum, All Purpose Flour, Whole Eggs, Caster Sugar, Milk, Rosemary, Vanilla Extract, Sugar	French	Dessert	NA	10 M	25 M	4.9383561643836	438
Italian Open Toast Recipe With Grilled Ham, Cheese & Olives	Chicken ham, Dill leaves, Swiss cheese, Black olives, Extra Virgin Olive Oil, Salt, Black pepper powder	Italian	World Breakfast	High Protein Non Vegetarian	10 M	30 M	4.9502487562189	402
Insalata Caprese Salad Recipe	Tomatoes, Mozzarella cheese, Basil leaves, Red Wine Vinaigrette, Extra Virgin Olive Oil, Salt, Black pepper powder	Italian	Appetizer	Vegetarian	20 M	0 M	4.8924205378973	409
Semolina French Toast Recipe	Sooji, Green Chillies, Onion, Green bell peppers, Coriander  Leaves, Salt and Pepper	French	World Breakfast	Eggetarian	15 M	15 M	4.8524473870891	4229
Chicken Barbecue Pizza Recipe	Whole Wheat Flour, Extra Virgin Olive Oil, Sugar, Salt, Lukewarm Water, Onion, Garlic, Dried Thyme Leaves, Red Chilli flakes, Sugar, Salt, Chicken breasts	Italian	Lunch	Non Vegeterian	30 M	60 M	4.9266521423384	1377
Spicy Tacos With Creamy Apple Slaw & Crispy Sriracha Corn	Hard taco shells, Sweet corn, Corn flour, All Purpose Flour, Salt, Oil, Apple, Cabbage, Carrot, Onion, Eggless Mayonnaise, Whole Black Pepper Corns, Salt, Lemon	Mexican	Dinner	Vegetarian	20 M	30 M	4.7587878787879	825
Mixed Vegetable Spaghetti Pasta Recipe	Onion, Tomatoes, Green Bell Pepper, Baby corn, Extra Virgin Olive Oil, Red Chilli flakes, Italian seasoning, Salt	Italian	Dinner	Vegetarian	10 M	30 M	4.9001225490196	1632
Pasta in Roasted Carrot & Red Pepper Sauce	Penne pasta, Red Bell pepper, Carrot, Onion, Garlic, Red Chilli powder, Cumin powder, Milk, Cheese Slices, Water, Salt, Mixed Herbs, Extra Virgin Olive Oil	Italian	Dinner	Vegetarian	15 M	35 M	4.9246180816429	3993
Corn and Spinach Whole Wheat Calzone Recipe	Whole Wheat Flour, Spinach, Salt, Sweet corn, Red Bell pepper, Green Bell Pepper, Cheese, Green Chilli, Coriander  Leaves, Oil	Italian	Snack	Vegetarian	10 M	60 M	4.8956953642384	1812
Homemade Savoiardi Recipe (Italian Lady's Finger Biscuits)	Egg yolks, Sugar, Vanilla Extract, Sugar, Salt, Egg whites, All Purpose Flour 	Italian	Dessert	Eggetarian	20 M	40 M	4.8433868289983	10842
Cheesy Baked Spaghetti Pasta Recipe	Britannia Cheese Spread - Four Pepper Tango, Onion, Garlic, Black olives, Salt, Basil leaves, Spaghetti Pasta, Britannia Cheese Block, Salt, Extra Virgin Olive Oil	Italian	Dinner	Vegetarian	20 M	45 M	4.9531876950513	4486
Saffron Cardamom Creme Brulée Recipe	Saffron strands, Cardamom  Pods/Seeds, Double Cream, Egg yolks, Sugar	French	Dessert	Eggetarian	20 M	120 M	4.8718820861678	882
Rose Milk Panna Cotta Recipe	Fresh cream, Milk, Condensed Milk, Rose water, Gelatin	Italian	Dessert	Vegetarian	120 M	15 M	4.8475540386803	879
Chocolate Salami Recipe (Salame Al Cioccolato)	Butter, Caster Sugar, Cocoa Powder, Milk, Digestive biscuit, Pistachios, Cranberries, Vanilla Extract	Italian	Dessert	Vegetarian	240 M	0 M	4.9056603773585	477
Spinach & Corn Lasagna Recipe	Extra Virgin Olive Oil, Spinach, Sweet corn, Britannia Cheese Spread - Classic, Salt, Extra Virgin Olive Oil, Garlic, Onion, Fresh cream, Basil leaves, Mixed Herbs, Cumin powder, Red Chilli powder, Salt, Sugar, Britannia Cheezza, Lasagna sheets	Italian	Dinner	Vegetarian	15 M	80 M	4.9647352172881	8422
Bruschetta With Coriander Mint Pesto And Red Bell Peppers Recipe	Red Bell pepper, Onion, Dried oregano, Red Chilli flakes, Salt, Coriander  Leaves, Mint Leaves, Whole Almonds, Green Chilli, Garlic, Extra Virgin Olive Oil, Parmesan cheese, Salt	Italian	Appetizer	Vegetarian	10 M	20 M	4.953781512605	476
Creamy Pumpkin Pasta Sauce Recipe	Kaddu, Garlic, Red Bell pepper, Extra Virgin Olive Oil, Milk, Britannia Cream Cheese, Salt	Italian	NA	Vegetarian	0 M	30 M	4.922934648582	1622
Creme Caramel Flan Recipe (Caramel Custard)	Sugar, Water, Milk, Fresh cream, Caster Sugar, Whole Eggs, Vanilla Extract	French	Dessert	Eggetarian	0 M	45 M	4.8820457018498	4595
Mexican Lime Chicken Recipe	Chicken breasts, Extra Virgin Olive Oil, Lemon juice, Lemon zest, Garlic, Coriander  Seeds, Salt, Paprika powder, Coriander  Leaves	Mexican	Appetizer	Non Vegeterian	70 M	30 M	4.9162348877375	2316
Tiramisu Recipe - A Classic and Quick Italian Dessert	Mascarpone Cheese, Sugar, Coffee Decoction, Dark rum, Savoiardi, Chocolate Shavings, Cocoa Powder	Italian	Dessert	Eggetarian	30 M	480 M	4.9248181083266	2474
Burnt Orange Panna Cotta Recipe	Fresh cream, Milk, Gelatin, Sugar, Oranges, Orange Zest 	Italian	Dessert	Vegetarian	15 M	240 M	4.9	810
Tres Leches Recipe - Mexican Three Milk Cake	All Purpose Flour, Baking powder, Salt, Caster Sugar, Whole Eggs, Sunflower Oil, Vanilla Extract, Milk, Milk, Condensed Milk, Fresh cream, Double Cream, Icing Sugar, Vanilla Extract	Mexican	Dessert	Eggetarian	20 M	50 M	4.8954081632653	1176
Corn & Soy Quesadillas with Spicy Mexican Salsa	Tortillas, Sweet corn, Soybeans, Green Chillies, Garlic, Onion, Cumin powder, Coriander  Leaves, Salt, Cheddar cheese	Mexican	Snack	Vegetarian	10 M	40 M	4.8801775147929	1352
Pasta Primavera With Fresh Basil Recipe	Spaghetti Pasta, Carrot, Baby Potatoes, Green beans, Green Bell Pepper, Sweet corn, Cherry tomatoes, Broccoli, Onion, Garlic, Basil leaves, Lemon, Extra Virgin Olive Oil, Salt, Red Chilli flakes, Parmesan cheese	Italian	Dinner	Vegetarian	10 M	30 M	4.8954344624448	679
Mexican Inspired Vegetarian Oven Roasted Stuffed Pepper Recipe	Red Bell pepper, Rice, Onion, Tomato, Garlic, Celery, Rajma, Paprika powder, Cumin powder, Cheddar cheese, Salt and Pepper, Coriander  Leaves, Mint Leaves 	Mexican	Appetizer	Vegetarian	15 M	70 M	4.876872659176	2136
Roasted Vegetable Au Gratin Recipe	Oil, Green zucchini, Carrot, Green beans, Butter, All Purpose Flour, Milk, Britannia Cheese Spread - Asli Pepper, Britannia Cheese Block	French	Dinner	Vegetarian	20 M	40 M	4.9590747330961	11240
Strawberry Yogurt Breakfast Parfait Recipe	Strawberries, Honey, Hung Curd, Granola	French	World Breakfast	Vegetarian	15 M	20 M	4.8944444444444	540
Savory Tart Recipe with Grape and Gouda Cheese	Gouda cheese, Mozzarella cheese, Tomato, Green seedless Grapes, Black olives, Mixed Herbs, Red Chilli flakes, Salt, Black pepper powder	Italian	Appetizer	Vegetarian	10 M	60 M	4.9404388714734	319
Spinach Cottage Cheese Cannelloni in Roasted Pepper Sauce Recipe	Garlic, Onion, Green Bell Pepper, Sunflower Oil, Tomato, Basil leaves, Red Chilli flakes, Salt, Fresh cream, Button mushrooms, Garlic, Onion, Spinach, Red Chilli flakes, Salt and Pepper	Italian	Dinner	Vegetarian	15 M	45 M	4.9020979020979	2574
The Croque Madame Sandwich Recipe	Whole Eggs, Cheese, Whole Wheat Flour, Milk, Dijon Mustard, Nutmeg, Salt and Pepper	French	World Breakfast	Eggetarian	10 M	30 M	4.9464285714286	448
Roasted Vegetable Flan Recipe In Herbed Sauce	Extra Virgin Olive Oil, Garlic, Button mushrooms, Green peas, Carrots, Sweet corn, Black pepper powder, Paprika powder, Nutmeg, Heavy whipping cream, Parmesan cheese, Egg yolks, Parsley leaves, Walnuts, Salt and Pepper	Italian	Dinner	Eggetarian	15 M	60 M	4.8513513513514	444
Black Eyed Bean Lemon Bruschetta Recipe	Baguette, Black Eyed Beans, Extra Virgin Olive Oil, Lemon zest, Lemon juice, Mint Leaves, Salt and Pepper, Extra Virgin Olive Oil	Italian	Dinner	Vegetarian	10 M	20 M	4.8645418326693	251
Prawns Spinach Spaghetti Recipe	Prawns, Spinach, Spaghetti Pasta, Garlic, Extra Virgin Olive Oil, Lemon zest, Lemon juice, Black pepper powder, Paprika powder, Parsley leaves	Italian	Lunch	Vegetarian	10 M	30 M	4.8571428571429	616
Focaccia With Cherry Tomatoes & Caramelized Onion Recipe	Vivatta Maida, Lukewarm Water, Sugar, Salt, Extra Virgin Olive Oil, Onion, Cherry tomatoes, Rosemary, Parmesan cheese, Red Chilli flakes, Salt, Extra Virgin Olive Oil	Italian	Side Dish	Vegetarian	120 M	20 M	4.9387755102041	686
Lemony Pasta Recipe With Roasted Shrimps	Spaghetti Pasta, Lemon zest, Black pepper powder, Lemon juice, Basil leaves, Extra Virgin Olive Oil, Salt, Black pepper powder, Shrimps, Extra Virgin Olive Oil, Salt, Parmesan cheese	Italian	Dinner	High Protein Non Vegetarian	10 M	30 M	4.8621908127208	283
Homemade Pan Pizza With Perfectly Crispy Crust Recipe	Whole Wheat Flour, Salt, Sugar, Extra Virgin Olive Oil, Water, Onion, Mozzarella cheese, Onion, Green bell peppers, Tomato, Sooji 	Italian	Lunch	Vegetarian	60 M	60 M	4.8951612903226	1612
Baked Roasted Pumpkin Penne Pasta With Tomato Basil Sauce Recipe	Penne pasta, Kaddu, Garlic, Mozzarella cheese, Salt, Tomatoes, Basil leaves, Onion, Garlic, Whole Black Pepper Corns, Sugar, Extra Virgin Olive Oil, Salt	Italian	Dinner	Vegetarian	10 M	60 M	4.8552631578947	228
Baked Penne Pasta With Roasted Peppers In Marinara Sauce Recipe	Penne pasta, Tomatoes, Extra Virgin Olive Oil, Dried oregano, Garlic, Red Chilli powder, Sugar, Green Bell Pepper, Red Bell pepper, Salt, Water, Parsley leaves, Mozzarella cheese	Italian	Dinner	Vegetarian	10 M	25 M	4.934819897084	583
Grilled Chicken Spaghetti Pasta With Herbs	Spaghetti Pasta, Garlic, Chicken breasts, Whole Black Peppercorns, Parsley leaves, Red Chilli flakes, Dried oregano, Salt, Extra Virgin Olive Oil, Parmesan cheese, Parsley leaves, Garlic, Milk, Fresh cream, Parmesan cheese, Salt and Pepper	Italian	Dinner	Non Vegeterian	20 M	30 M	4.957650273224	732
Bruschetta with Olives & Raisins	Brinjal, Red Bell pepper, Garlic, Blanched tomatoes, Extra Virgin Olive Oil, Pine nuts, Raisins, Basil leaves, Black olives, Balsamic Vinegar, Honey, Salt and Pepper, Baguette, Extra Virgin Olive Oil, Garlic, Salt and Pepper	Italian	Appetizer	Vegetarian	10 M	35 M	4.9168591224018	433
Roasted Vegetables Pizza Pouch Recipe	Onion, Red Bell pepper, Button mushrooms, Cabbage, Carrots, Green peas, Garlic, Sweet corn, Raisins, Extra Virgin Olive Oil, Salt	Italian	Appetizer	Vegetarian	20 M	30 M	5	150
French Onion Soup Recipe	Onions, Garlic, Butter, Bay leaves, Corn flour, Milk, Salt and Pepper, Cheese, Fresh Thyme leaves, Baguette	French	Appetizer	Vegetarian	15 M	20 M	4.8665263157895	2375
French Gâteaux Recipe (Layered Fruit and Cream Cake)	Sugar, Vivatta Maida, Salt, Baking powder, Milk, Lemon juice, Vanilla Extract, Heavy whipping cream, Mascarpone Cheese, Caster Sugar, Vanilla Extract, Sugar, Water, Fresh orange juice, Kiwi, Oranges, Pineapple, Fresh Cherries, Slivered Almonds 	French	Dessert	Eggetarian	25 M	100 M	4.7952914798206	4460
Veggie Penne Pasta Recipe In Creamy Roasted Carrot Sauce	Basil leaves, Mozzarella cheese, Carrot, Red Bell pepper, Yellow Bell Pepper, Garlic, Milk, Salt, Extra Virgin Olive Oil	Italian	Lunch	Vegetarian	20 M	30 M	4.739837398374	1353
Italian Grissini Recipe- Homemade Breadsticks	All Purpose Flour, Whole Wheat Flour, Milk, Honey, Extra Virgin Olive Oil, Red Chilli flakes, Ajwain, Sesame seeds, Salt, Lukewarm Water	Italian	Snack	Vegetarian	140 M	15 M	4.8655778894472	1592
Mexican Breakfast Tortilla, Fried Eggs & Black Beans With Salsa Recipe	Tortillas, Whole Eggs, Sunflower Oil	Mexican	World Breakfast	Eggetarian	10 M	15 M	4.9387144992526	669
Roasted Vegetable Pizza Recipe With Oat Flour Crust	Instant Oats, Whole Wheat Flour, Baking powder, Extra Virgin Olive Oil, Salt, Sugar, Lukewarm Water, Mozzarella cheese, Button mushrooms, Red Bell pepper, Onion, Extra Virgin Olive Oil, Pizza seasoning, Salt, Black pepper powder	Italian	Dinner	Vegetarian	20 M	60 M	4.9232480533927	899
Indo Mexican Roasted Vegetable Taco Recipe With Creamy Mayo	Hard taco shells, Herb Butter, Potatoes, Cumin powder, Cauliflower, Red Bell pepper, Yellow Bell Pepper, Green Bell Pepper, Red Chilli flakes, Sweet corn, Salt, Eggless Mayonnaise, Achari Mayo	Mexican	Appetizer	Vegetarian	10 M	35 M	4.9640287769784	973
Garlic Shrimp Linguine Pasta Recipe	Linguine Pasta, Shrimps, Butter, Salt, Garlic, Black pepper powder, Dried oregano, Red Chilli flakes, Parmesan cheese	Italian	Dinner	Non Vegeterian	15 M	15 M	4.9548916227299	1707
Vegetarian Grilled Gyros Recipe	Mini Pita Breads, Tzatziki, Brinjal, Green zucchini, Yellow Zucchini, Green Bell Pepper, Red Bell pepper, Yellow Bell Pepper, Button mushrooms, Tomatoes, Red onion, Cucumber, Extra Virgin Olive Oil, Lemon juice, Salt, Black pepper powder, Garlic	Greek	Appetizer	Vegetarian	10 M	45 M	4.917124039517	1822
Mexican Vegetarian Burrito Bowl Recipe	Cooked rice, Coriander  Leaves, Whole Black Peppercorns, Salt, Lemon juice, Rajma, Onion, Garlic, Cumin seeds, Sunflower Oil, Salt, Red Bell pepper, Green Bell Pepper, Yellow Bell Pepper, Onion, Garlic, Dried oregano, Red Chilli flakes, Salt, Extra Virgin Olive Oil, Onion, Tomato, Coriander  Leaves, Lemon juice, Red Chilli flakes, Salt, Cheddar cheese, Lettuce leaves, Black olives	Mexican	Dinner	Vegetarian	30 M	45 M	4.8725284601558	6676
Greek Style Revithia Sto Fourno - Chickpeas with Caramelized Onions Recipe	Kala Chana, Garlic, Extra Virgin Olive Oil, Water, Rosemary, Salt, Black pepper powder, Caramelized onions	Greek	Lunch	Vegetarian	400 M	45 M	4.9440258342304	929
Gingerbread Biscotti Recipe	All Purpose Flour, Whole Wheat Flour, Baking powder, Sunflower Oil, Brown Sugar, Molasses, Dry ginger powder, Whole Eggs, Salt, Hazelnut	Italian	Snack	Eggetarian	15 M	60 M	4.9570552147239	326
Mexican Beans Salad Recipe	Kabuli Chana, Black Eyed Beans, Rajma, Green Bell Pepper, Sweet corn, Iceberg lettuce, Purple cabbage, Onion, Extra Virgin Olive Oil, Vinegar, Sugar, Salt, Garlic, Lemon juice, Coriander  Leaves, Cumin seeds, Black pepper powder, Cumin seeds, Tomato Ketchup	Mexican	Side Dish	Vegetarian	0 M	30 M	4.8909634055265	1339
Mexican Corn and Bell Pepper Tostadas Recipe	Makki Ka Atta, All Purpose Flour, Lukewarm Water, Black Eyed Beans, Onion, Coconut milk, Salt, Sunflower Oil, Red Bell pepper, Sweet corn, Red Chilli powder, Cumin powder, Salt	Mexican	Appetizer	Vegetarian	15 M	45 M	4.8772563176895	277
Watermelon & Feta Skewers Recipe	Watermelon, Feta Cheese, Spinach Leaves, Black olives, Chaat Masala Powder	Italian	Appetizer	High Protein Vegetarian	10 M	0 M	4.8030769230769	325
Roasted Mushroom & Caramelized Onion Bruschetta	Baguette, Veeba Carrot Cucumber Sandwich Spread, Extra Virgin Olive Oil, Garlic, Red Bell pepper, Button mushrooms, Mint Leaves, Salt and Pepper, Extra Virgin Olive Oil, Onions	Italian	Appetizer	Vegetarian	10 M	20 M	4.9401778496362	1237
Creamy Garlic Mashed Potatoes Recipe	Potatoes, Heavy whipping cream, Garlic, Milk, Salt, Black pepper powder	Italian	Side Dish	Vegetarian	10 M	30 M	4.9473684210526	912
Fettuccine Pasta Recipe With Roasted Red Bell Pepper Sauce	Whole Wheat Flour, Water, Salt, Red Bell pepper, Garlic, Onion, Red Chilli flakes, Sugar, Cumin powder, Fresh cream, Salt, Basil leaves, Garlic, Carrot, Basil leaves, Parmesan cheese	Italian	Dinner	Vegetarian	10 M	20 M	4.9219380888291004	743
Mexican Taco Recipe With Refried Beans & Fresh Summer Salad	Hard taco shells	Mexican	Dinner	Vegetarian	30 M	0 M	4.9434406912804	1273
Spaghetti Aglio Olio Pasta Recipe with Bacon	Spaghetti Pasta, Garlic, Extra Virgin Olive Oil, Red Chilli flakes, Mixed Herbs, Bacon strips, Salt, Parmesan cheese, Parsley leaves	Italian	Dinner	Non Vegeterian	10 M	35 M	4.920476858345	7130
Creamy Mixed Vegetable Risotto Recipe	Arborio rice, Onions, Garlic, Red Yellow and Green Bell Peppers, Button mushrooms, Fresh cream, Cheese, Salt, Black pepper powder, Dried oregano	Italian	Dinner	Vegetarian	15 M	35 M	4.910881241297	5027
Chicken Taquitos Recipe - A Classic Mexican Appetizer	Tomatoes, Onions, Green Chillies, Cumin powder, Salt, Sugar, Coriander  Leaves, Makki Ka Atta, All Purpose Flour, Salt, Water, Extra Virgin Olive Oil, Chicken breasts, Garlic, Taco seasoning, Cheddar cheese	Mexican	Appetizer	Non Vegeterian	10 M	25 M	4.9627659574468	752
French Onion Chicken Recipe	Chicken thighs, Onions, Butter, Extra Virgin Olive Oil, Garlic, Dried Thyme Leaves, Chicken stock, All Purpose Flour, Salt, Black pepper powder, Vinegar, Dijon Mustard, Gruyere Cheese	French	Lunch	Non Vegeterian	10 M	90 M	4.8766917293233	665
Classic Caesar Salad Recipe	Green Romaine lettuce, Cucumber, Cherry tomatoes, Fried Bread Cubes, Classic Mayonnaise, Salt, Lemon juice, Black pepper corns, Extra Virgin Olive Oil, Garlic, Sugar, Parmesan cheese	Italian	Appetizer	Vegetarian	15 M	0 M	4.9676966292135	1424
Greek Style Green Beans Stir Fry Recipe	Green beans, Onion, Garlic, Black raisins, Whole Black Peppercorns, Red Chilli flakes, Coriander  Leaves, Salt, Extra Virgin Olive Oil	Greek	One Pot Dish	Vegetarian	5 M	45 M	4.8487903225806	992
Italian Home Style Ravioli in Lemon Recipe-Garlic White Sauce Recipe	All Purpose Flour, Whole Eggs, Salt, Red Amaranth Leaves, Nutmeg powder, Black pepper powder, Salt, Butter, Onion, Garlic, Cherry tomatoes, Lemon zest, Fresh cream, Milk, Sichuan peppercorns, Red Chilli flakes, Cheddar cheese, Salt, Lemon zest, Parsley leaves, Mint Leaves, Garlic	Italian	Lunch	Vegetarian	10 M	150 M	4.9179566563467	646
Greek Style Kolokithokeftedes Recipe -Zucchini Fritters Recipe	Yellow Zucchini, Nutmeg, Spring Onion, Mint Leaves, Instant Oats, Flax seed powder, Whole Wheat Bread crumbs, Salt and Pepper, Extra Virgin Olive Oil	Greek	Snack	Vegetarian	20 M	15 M	4.9150485436893	412
Greek Style Spinach Spanakopita Recipe	Spinach Leaves, Onions, Garlic, Fresh Thyme leaves, Dried oregano, All Purpose Flour, Salt	Greek	Appetizer	Vegetarian	10 M	60 M	4.9170506912442	217
Creamy Polenta Recipe  - Savory Cornmeal Porridge	Polenta, Water, Milk, Extra Virgin Olive Oil, Black pepper powder, Salt	Italian	Side Dish	Vegetarian	0 M	20 M	4.9452852153667	859
Crunchy Fish Tacos - Perfect Mexican Appetizer	Tortillas, Carrot, Cabbage, Onions, Black pepper powder, Salt, Sunflower Oil, Basa fish, Salt, Black pepper powder, Whole Egg, Rice flour, Corn flour, All Purpose Flour, Dry mix herbs, Cheese	Mexican	Appetizer	Non Vegeterian	15 M	30 M	4.9642857142857	196
Tomato Corn Au Gratin Recipe	Milk, Butter, All Purpose Flour, Fresh oregano, Salt and Pepper, Whole Wheat Bread crumbs, Parmesan cheese, Fresh oregano, Italian seasoning, Cherry tomatoes, Salt and Pepper	French	Dinner	Vegetarian	20 M	30 M	4.879012345679	405
Butternut Squash Gratin Recipe	Butternut squash, Extra Virgin Olive Oil, Whole Wheat Bread crumbs, Coriander  Leaves, Cheddar cheese, Gouda cheese, Black pepper powder, Rosemary, Salt	French	Lunch	Vegetarian	10 M	45 M	4.974358974359	312
Spinach And Corn Au Gratin Recipe With Cheesy Dip	Spinach Leaves, Sweet corn, Corn flour, Milk, Dried oregano, Red Chilli flakes, Cheddar cheese, Salt, Extra Virgin Olive Oil	French	One Pot Dish	Vegetarian	20 M	30 M	4.8492537313433	1340
Mini Potato Cheesy Au Gratin Recipe	Potato, Nutralite Garlic & Oregano Spread, Heavy whipping cream, Milk, All Purpose Flour, Garlic, Salt, Black pepper powder, Cheddar cheese	French	Lunch	Vegetarian	10 M	60 M	4.963058419244	1164
Sweet Potato Gratin With Fresh Herbs Recipe	Sweet Potatoes, Fresh cream, Milk, Garlic, Nutmeg, Parsley leaves, Fresh Thyme leaves, Dried oregano, Basil leaves, Whole Black Peppercorns, Salt, Cheese	French	Dinner	Vegetarian	11 M	60 M	4.9230769230769	273
Couscous Eggplant And Tomato Gratin Recipe	Couscous, Japanese Eggplant, Extra Virgin Olive Oil, Feta Cheese, Whole Wheat Bread crumbs, Mint Leaves, Salt	French	Dinner	Vegetarian	10 M	30 M	4.0184049079755	326
Ultimate Potato Gratin Dauphinois	Potatoes, Milk, Fresh cream, Garlic, Fresh Thyme leaves, Whole Black Peppercorns, Parmesan cheese	French	Dinner	Vegetarian	20 M	90 M	4.945564516129	496
Walnut Mushroom Veg Bolognese Recipe With A Twist	Button mushrooms, Walnuts, Extra Virgin Olive Oil, Garlic, Onions, Tomato, Salt, Black pepper powder, Sugar, Habenaro sauce, Mixed Herbs, Cumin powder, Apple cider vinegar	Italian	Main Course	Vegetarian	15 M	20 M	4.9842209072978	507
Mexican Chicken Tostadas Recipe	Corn flour tortilla, Chicken breasts, Sunflower Oil, Red Chilli powder, Coriander Powder, Salt, Lemon juice, Cabbage, Coriander  Leaves	Mexican	Appetizer	Non Vegeterian	10 M	25 M	4.9848484848485	132
Mexican Cottage Cheese Chicken Enchilada Recipe	Chicken breasts, Tortillas, Cheddar cheese, Salt, Black pepper powder, Extra Virgin Olive Oil, Onion, Pickled Jalapenos, Taco seasoning, Green Bell Pepper 	Mexican	Main Course	Non Vegeterian	15 M	60 M	4.9627586206897	725
Chicken Chilli Cheese Quesadillas Recipe	Boneless chicken, Cheddar cheese, Onion, Green Bell Pepper, Black pepper powder, Salt, Sweet corn, Lemon juice, Tortillas	Mexican	Lunch	Non Vegeterian	10 M	60 M	4.9596412556054	446
Mango Tiramisu Recipe With Savoiardi	Whole Eggs, Caster Sugar, All Purpose Flour, Mascarpone Cheese, Heavy whipping cream, Icing Sugar, Mango, Caster Sugar, Water, Mango 	Italian	Dessert	Eggetarian	30 M	400 M	4.8579285059578	1091
Cheesy Baked Ziti Pasta Recipe with Roasted Mushroom & Corn	Ziti Pasta, Extra Virgin Olive Oil, Button mushrooms, Salt, Extra Virgin Olive Oil, Basil leaves, Garlic, Onion, Red Chilli flakes, Salt, Sugar, Black pepper powder, Rosemary, Mozzarella cheese	Italian	Main Course	Vegetarian	10 M	40 M	4.8932203389831	590
Ratatouille with Grilled Cottage Cheese Steak	Extra Virgin Olive Oil, Garlic, Onion, Brinjal, Red Bell pepper, Green zucchini, Tomatoes, Basil leaves, Parsley leaves, Whole Wheat Bread crumbs, Rosemary	French	Main Course	Vegetarian	15 M	40 M	4.8776132404181	2296
Sicilian Watermelon Pudding Recipe With Cinnamon Twist  - Gelo Di Melone	Watermelon, Corn flour, Sugar, Vanilla Extract, Cinnamon Stick, Cinnamon Powder, Walnuts	Italian	Dessert	Vegetarian	15 M	380 M	4.8525519848771	529
Mexican Style Capirotada Recipe-Bread Pudding Recipe	Cashew nuts, Raisins, Jaggery, Cinnamon Powder, Ripe Bananas, Fresh cream	Mexican	Dessert	Vegetarian	10 M	30 M	4.960687960688	407
Mexican Vegetarian Bean & Cheese Enchiladas Recipe	Canned black beans, Cheese, Extra Virgin Olive Oil, Spring Onion, Garlic, Parsley leaves	Mexican	Main Course	Vegetarian	10 M	90 M	4.8967414303851	7089
Refried Beans and Mushroom Tostada Recipe	Tortillas, Cheddar cheese, Avocado, Iceberg lettuce, Lemon, Salt, Whole Black Peppercorns, Red Chilli flakes, Button mushrooms, Onion, Garlic, Sunflower Oil, Red Chilli flakes, Salt, Rajma, Onion, Garlic, Cumin powder, Red Chilli flakes, Coriander  Leaves, Sunflower Oil, Salt	Mexican	Snack	Vegetarian	20 M	45 M	4.9542483660131	459
Cauliflower Tortilla Recipe	Cauliflower, Whole Egg, Salt, Black pepper powder	Mexican	Lunch	Diabetic Friendly	20 M	25 M	4.9096477794793	653
Mexican Brown Rice and Quinoa Casserole Recipe	Quinoa, Brown Rice, Extra Virgin Olive Oil, Garlic, Green Chillies, Rajma, Green Bell Pepper, Orange Bell pepper, Tomatoes, Avocado, Red Chilli powder, Lemon, Coriander  Leaves	Mexican	Dinner	Diabetic Friendly	20 M	40 M	4.8286445012788	1564
